date,open,high,low,close,volume,return_1d,rsi_14,volatility_7d,sma_20,sma_50,ema_12,ema_26
2022-01-01,2115.856708637056,2116.5420913960957,2096.8994005907766,2097.5788626650883,409076155.35155827,,,,,,2097.5788626650883,2097.5788626650883
2022-01-02,2154.067212019988,2292.5310332469912,2019.1903627509805,2157.4428203696316,293592445.45191664,0.02853955041694256,,,,,2106.788702311941,2102.0132299024617
2022-01-03,2152.572041613373,2168.332817395373,2137.015020328509,2152.774334106653,570090015.3163618,-0.002163898027285227,,,,,2113.863414895743,2105.7733116953646
2022-01-04,2240.463443275799,2264.5323587530042,2220.934727022496,2244.964410389093,458238311.4075041,0.042823845872677735,,,,,2134.032798817797,2116.0837634504555
2022-01-05,2193.534545937122,2231.136705992786,2172.8596243396846,2210.303728288591,651605345.521531,-0.01543930137159466,,,,,2145.76678796715,2123.063020105132
2022-01-06,2241.968275667705,2292.950305311001,2170.2247378563975,2220.723668243922,583853788.8349899,0.004714257059774685,,,,,2157.2986157020378,2130.297142189487
2022-01-07,2221.33528430653,2284.7894161436607,2154.3982440075133,2217.7499582798655,404869275.0374347,-0.0013390724864061898,,,,,2166.598822252473,2136.775128566552
2022-01-08,2283.0763609444025,2291.136100305246,2273.5534268780775,2281.607982554614,447932590.0383727,0.028794059508979952,,0.02117277728945374,,,2184.292539222033,2147.5034881212237
2022-01-09,2158.947464016329,2198.573745757769,2139.2593264487655,2178.7054289417565,502753371.7337165,-0.04510089130107364,,0.02870124165746007,,,2183.4329837942983,2149.8147429968185
2022-01-10,2195.2686935980887,2225.2526065473494,2180.6712584971215,2210.5535349223837,648828917.5630735,0.014617903621829464,,0.029018420279362956,,,2187.605376275542,2154.313912769083
2022-01-11,2241.913738843341,2282.959311053307,2190.4113399257717,2231.261895259115,172489886.1172327,0.009367952419871317,,0.023889580205434337,,,2194.321763811476,2160.0137633239
2022-01-12,2334.9211426268093,2372.1639945182496,2316.1165108294226,2353.2120541670647,449208208.07620484,0.05465524202562855,,0.030438527850858123,,,2218.766423866182,2174.3247478308012
2022-01-13,2230.589566218887,2307.0986549308773,2135.1380088634605,2210.9742949438883,437815239.41210943,-0.060444089163703696,,0.04042907992354364,,,2217.5676348012134,2177.0395290984375
2022-01-14,2125.375732393118,2220.3976415334228,2015.6090106927015,2109.940852799698,349470545.47298497,-0.045696344084703355,50.783083186907334,0.04400630469711738,,,2201.0096683394418,2172.0692567800124
2022-01-15,2096.027944591713,2139.8023072456403,2054.6909288594743,2098.4181527935675,472845412.84907174,-0.005461148349652056,50.052400746080934,0.04127889746886535,,,2185.226358255461,2166.613619447683
2022-01-16,2033.900356210241,2110.4147213402644,1960.5323546954535,2036.9371740195797,452645805.25302386,-0.029298726134321607,42.49143879220688,0.03950691125595491,,,2162.412637603787,2157.007956823379
